institute,rank,category
"Indian Institute of Technology Madras",1,top 100
"Indian Institute of Science",2,top 100
"Indian Institute of Technology Bombay",3,top 100
"Indian Institute of Technology Delhi",4,top 100
"Indian Institute of Technology Kanpur",5,top 100
"Indian Institute of Technology Kharagpur",6,top 100
"Indian Institute of Technology Roorkee",7,top 100
"All India Institute of Medical Sciences, Delhi",8,top 100
"Jawaharlal Nehru University",9,top 100
"Banaras Hindu University",10,top 100
"Indian Institute of Technology Guwahati",11,top 100
"Indian Institute of Technology Hyderabad",12,top 100
"Jamia Millia Islamia",13,top 100
"Manipal Academy of Higher Education-Manipal",14,top 100
"University of Delhi",15,top 100
"Birla Institute of Technology & Science -Pilani",16,top 100
"Amrita Vishwa Vidyapeetham",17,top 100
"Jadavpur University",18,top 100
"Aligarh Muslim University",19,top 100
"Homi Bhabha National Institute",20,top 100
"Vellore Institute of Technology",21,top 100
"S.R.M. Institute of Science and Technology",22,top 100
"Saveetha Institute of Medical and Technical Sciences",23,top 100
"Indian Agricultural Research Institute",24,top 100
"Siksha `O` Anusandhan",25,top 100
"University of Hyderabad",26,top 100
"Kalinga Institute of Industrial Technology",27,top 100
"Indian Institute of Technology Indore",27,top 100
"Anna University",29,top 100
"National Institute of Technology Tiruchirappalli",30,top 100
"Indian Institute of Technology (Banaras Hindu University) Varanasi",31,top 100
"Chandigarh University",32,top 100
"Post Graduate Institute of Medical Education and Research",33,top 100
"National Institute of Technology Rourkela",34,top 100
"Indian Institute of Technology (Indian School of Mines)",35,top 100
"Indian Institute of Technology Patna",36,top 100
"Amity University",37,top 100
"JSS Academy of Higher Education and Research",38,top 100
"Indian Institute of Technology Gandhinagar",39,top 100
"Symbiosis International",40,top 100
"Andhra University, Visakhapatnam",41,top 100
"Kerala University",42,top 100
"Jawaharlal Institute of Post Graduate Medical Education & Research",43,top 100
"Thapar Institute of Engineering and Technology (Deemed-to-be-university)",44,top 100
"National Institute of Technology Calicut",45,top 100
"Koneru Lakshmaiah Education Foundation University (K L College of Engineering)",46,top 100
"Calcutta University",47,top 100
"Kalasalingam Academy of Research and Education",48,top 100
"Lovely Professional University",49,top 100
"Cochin University of Science and Technology",50,top 100
"Shanmugha Arts Science Technology & Research Academy",51,top 100
"Gauhati University",52,top 100
"Osmania University",53,top 100
"National Institute of Technology Karnataka, Surathkal",54,top 100
"Indian Institute of Science Education & Research Pune",55,top 100
"Indian Institute of Technology Ropar",56,top 100
"Panjab University",57,top 100
"Indian Institute of Technology Mandi",58,top 100
"University of Kashmir",59,top 100
"National Institute of Mental Health & Neuro Sciences, Bangalore",60,top 100
"Bharathidasan University",61,top 100
"Delhi Technological University",62,top 100
"National Institute of Technology Warangal",63,top 100
"Institute of Chemical Technology",64,top 100
"UPES",64,top 100
"Indian Institute of Technology Jodhpur",66,top 100
"Indian Institute of Science Education & Research Kolkata",67,top 100
"University of Madras",68,top 100
"Babasheb Bhimrao Ambedkar University",69,top 100
"Indian Institute of Science Education & Research, Mohali",70,top 100
"Dr. D. Y. Patil Vidyapeeth",71,top 100
"Graphic Era University",72,top 100
"Alagappa University",73,top 100
"Jamia Hamdard",74,top 100
"Indian Institute of Science Education & Research Bhopal",75,top 100
"Bharathiar University",76,top 100
"Malaviya National Institute of Technology",77,top 100
"All India Institute of Medical Sciences Rishikesh",78,top 100
"Mahatma Gandhi University, Kottayam",79,top 100
"Indian Institute of Technology Bhubaneswar",80,top 100
"Punjab Agricultural University",81,top 100
"Sri Sivasubramaniya Nadar College of Engineering",82,top 100
"King George`s Medical University",83,top 100
"Datta Meghe Institute of Higher Education and Research",84,top 100
"Shiv Nadar University",85,top 100
"Visvesvaraya National Institute of Technology, Nagpur",86,top 100
"University of Jammu",87,top 100
"Tamil Nadu Agricultural University",88,top 100
"International Institute of Information Technology Hyderabad",89,top 100
"Bharath Institute of Higher Education & Research",90,top 100
"Savitribai Phule Pune University",91,top 100
"Mumbai University",92,top 100
"Sathyabama Institute of Science and Technology",93,top 100
"Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir",94,top 100
"SVKM`s Narsee Monjee Institute of Management Studies",95,top 100
"Christ University",96,top 100
"National Institute of Technology Silchar",97,top 100
"Manipal University Jaipur",98,top 100
"Madan Mohan Malaviya University of Technology",99,top 100
"All India Institute of Medical Sciences Bhubaneswar",100,top 100
"Acharya Nagarjuna University",101,101-200
"All India Institute of Medical Sciences Bhopal",102,101-200
"All India Institute of Medical Sciences Jodhpur",103,101-200
"All India Institute of Medical Sciences Patna",104,101-200
"All India Institute of Medical Sciences Raipur",105,101-200
"Assam University-Silchar",106,101-200
"Banasthali Vidyapith",107,101-200
"Bangalore University",108,101-200
"Bharati Vidyapeeth",109,101-200
"Birla Institute of Technology",110,101-200
"Central University of Punjab",111,101-200
"Central University of Rajasthan",112,101-200
"Central University of Tamil Nadu",113,101-200
"Chaudhary Charan Singh Haryana Agricultural University",114,101-200
"Chettinad Academy of Research and Education",115,101-200
"Chitkara University",116,101-200
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",117,101-200
"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",118,101-200
"Gandhi Institute of Technology And Management (GITAM)",119,101-200
"Gujarat University",120,101-200
"Indraprastha Institute of Information Technology",121,101-200
"Indian Institute of Engineering Science and Technology, Shibpur",122,101-200
"Indian Institute of Technology Palakkad",123,101-200
"Indian Statistical Institute, Kolkata",124,101-200
"Jain university,Bangalore",125,101-200
"Jawaharlal Nehru Technological University",126,101-200
"M. S. Ramaiah Institute of Technology",127,101-200
"Madras Medical College & Government General Hospital, Chennai",128,101-200
"Madurai Kamaraj University",129,101-200
"Maharishi Markandeshwar",130,101-200
"Manonmaniam Sundaranar University, Tirunelveli",131,101-200
"Mizoram University",132,101-200
"Mysore University",133,101-200
"National Institute of Technology Delhi",134,101-200
"National Institute of Technology Durgapur",135,101-200
"National Institute of Technology Patna",136,101-200
"National Institute of Technology Srinagar",137,101-200
"Netaji Subhas University of Technology (NSUT)",138,101-200
"NITTE",139,101-200
"Padmashree Dr. D. Y. Patil Vidyapeeth, Mumbai",140,101-200
"PSG College of Technology",141,101-200
"Sant Longowal Institute of Engineering & Technology",142,101-200
"Sharda University",143,101-200
"Shoolini University of Biotechnology and Management Sciences",144,101-200
"Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus",145,101-200
"Sri Ramachandra Institute of Higher Education and Research",146,101-200
"Tata Institute of Social Sciences",147,101-200
"Tezpur University",148,101-200
"University of Agricultural Sciences, Bangalore",149,101-200
"Vignan's Foundation for Science, Technology and Research",150,101-200
"Amity University Haryana, Gurgaon",151,101-200
"Ashoka University",152,101-200
"Avinashilingam Institute for Home Science & Higher Education for Women",153,101-200
"C.V. Raman Global University, Odisha",154,101-200
"Calicut University, Thenhipalem, Malapuram",155,101-200
"Central Agricultural University",156,101-200
"Central University of Kerala",157,101-200
"Chandigarh Engineering College-CGC, Landran, Mohali",158,101-200
"Chennai Institute of Technology",159,101-200
"Dibrugarh University",160,101-200
"Dr Rajendra Prasad Central Agricultural University, Samastipur",161,101-200
"Dr. M. G. R. Educational and Research Institute",162,101-200
"Dr. Y.S. Parmar University of Horticulture and Forestry",163,101-200
"G. L. A. University",164,101-200
"Galgotias University",165,101-200
"Guru Gobind Singh Indraprastha University",166,101-200
"Guru Jambheshwar University of Science and Technology, Hissar",167,101-200
"Hindustan Institute of Technology and Science (HITS)",168,101-200
"Indian Institute of Science Education & Research Thiruvananthapuram",169,101-200
"Indian Institute of Space Science and Technology",170,101-200
"Indian Institute of Technology, Tirupati",171,101-200
"Integral University",172,101-200
"Kalinga University, Raipur",173,101-200
"Karunya Institute of Technology and Sciences",174,101-200
